Rank,School,Overall score,Compen- sation,Learning,Network- ing,Entrepre- neurship,Diversity,Overall score with BBW weights,Scaled overall score with BBW weights,Rank w/ BBW weights applied to 'normalized' scores,Rank w/ BBW weights applied to z-scores,Overall score with true weights,Scaled overall score with true weights,Rank w/true weights,Compen- sation z-score,Learning z-score,Network- ing z-score,Entrepre- neurship z-score,Diversity z-score,Overall z-score with BBW's wts
38,Wisconsin,55,57.3,65.8,69.1,35,55.3,58.7,60,36,36,57.1,55,38,0.0998,0.8776,0.2290,-0.5615,0.1214,0.2459
39,Brigham Young (Marriott),55,63.3,75.8,84.4,66,0.0,65.1,68,27,25,57.0,55,39,0.3323,1.3742,0.8899,1.0075,-2.4270,0.5438
39,Boston University (Questrom),54,57.8,53.5,56.0,42,61.5,54.8,55,41,43,56.6,54,40,0.1192,0.2668,-0.3368,-0.1853,0.4071,0.0642
39,Pittsburgh (Katz),54,47.0,77.8,67.7,35,85.2,60.5,62,35,32,56.5,54,41,-0.2993,1.4735,0.1686,-0.5268,1.4993,0.3690
42,Minnesota (Carlson),51,62.5,29.4,65.6,39,31.6,49.0,48,51,54,53.7,51,42,0.3013,-0.9299,0.0779,-0.3437,-0.9708,-0.2432
42,Michigan State (Broad),50,58.5,52.0,68.9,12,45.8,52.0,52,49,49,53.5,50,43,0.1463,0.1924,0.2204,-1.6652,-0.3164,-0.0859
44,North Carolina State (Jenkins),50,46.2,43.7,37.1,48,100.0,48.7,48,52,50,53.5,50,44,-0.3303,-0.2198,-1.1532,0.1018,2.1813,-0.1801
44,Texas Christian (Neeley),50,48.4,50.2,63.2,53,67.0,53.5,54,45,47,53.3,50,45,-0.2451,0.1030,-0.0258,0.3195,0.6606,0.0296
44,Miami,49,41.0,58.6,65.0,52,84.9,54.8,55,40,39,52.5,49,46,-0.5318,0.5201,0.0519,0.2700,1.4855,0.1137
44,Penn State (Smeal),49,62.0,28.6,73.6,0,40.4,46.1,45,56,61,52.4,49,47,0.2820,-0.9696,0.4234,-2.2789,-0.5652,-0.3962
44,Tennessee (Haslam),49,51.7,55.7,69.7,27,53.1,53.1,53,47,48,52.2,49,48,-0.1172,0.3761,0.2549,-0.9376,0.0200,-0.0102
44,Ohio State (Fisher),48,62.5,24.9,56.9,17,38.9,44.3,42,58,64,51.8,48,49,0.3013,-1.1534,-0.2979,-1.4177,-0.6344,-0.4677
50,Georgia (Terry),47,54.1,42.1,58.4,34,44.8,48.5,48,53,51,50.6,47,50,-0.0242,-0.2992,-0.2331,-0.6011,-0.3625,-0.2306
50,Pepperdine (Graziadio),46,40.2,59.1,54.9,69,68.5,53.5,54,46,42,49.8,46,51,-0.5628,0.5449,-0.3843,1.1312,0.7297,0.0698
52,George Washington,45,49.1,16.1,31.9,16,97.1,37.6,34,67,68,49.5,45,52,-0.2179,-1.5903,-1.3778,-1.4820,2.0477,-0.7351
53,Babson (Olin),45,45.5,53.4,52.2,92,37.1,53.6,54,44,44,49.2,45,53,-0.3574,0.2619,-0.5009,2.2894,-0.7173,0.0638
53,UC at Irvine (Merage),45,41.6,32.3,48.2,37,92.5,44.2,42,60,62,49.0,45,54,-0.5086,-0.7859,-0.6737,-0.4476,1.8357,-0.4001
55,Arizona State (Carey),45,53.8,18.8,46.8,24,59.4,40.3,38,64,66,48.8,45,55,-0.0358,-1.4563,-0.7342,-1.1108,0.3103,-0.6258
55,Hult,43,33.4,65.7,47.5,65,84.9,52.4,53,48,45,47.8,43,56,-0.8263,0.8727,-0.7039,0.9283,1.4855,0.0440
57,Fordham (Gabelli),43,49.6,48.3,51.5,45,36.0,47.8,47,54,52,47.2,43,57,-0.1986,0.0086,-0.5312,-0.0616,-0.7680,-0.2366
