district,perimeter_km,perimeter_mi,area_km2,area_mi2,polsby_popper,schwartzberg_ratio
VA-01,798.696264106994,496.28684986366744,10055.844160470964,3882.5831363242883,0.19809115866498977,0.4450743293709375
VA-02,795.5854818859372,494.35389940617864,10194.220197359273,3936.0104228574132,0.20239052431409166,0.4498783439043178
VA-03,212.7077325020072,132.1704573428721,1159.331823194065,447.6205194021777,0.3219964364168395,0.5674472983606843
VA-04,625.0835176313134,388.40889059847575,9140.656909016792,3529.2273630673044,0.2939755267898732,0.5421951003005036
VA-05,937.6482411461407,582.6276055002166,24889.76014526617,9609.990117691008,0.3557547347933837,0.59645178748444
VA-06,1006.4585390414802,625.3843423416498,16332.381167518657,6305.967622916945,0.20261313355304625,0.4501256863955291
VA-07,660.1840396553541,410.2193438167067,7205.721932136821,2782.14479185467,0.20775779205403547,0.455804554665742
VA-08,132.80466517129042,82.52099313216468,410.52946035681714,158.50631078903254,0.29250111768867193,0.5408337246221541
VA-09,1327.2646808359161,824.7240371455177,26321.192298865462,10162.669162002758,0.18775881973293385,0.43331145811406124
VA-10,441.5835736217806,274.38731161378837,4417.970264821493,1705.7878556239195,0.28471269546893657,0.5335847594046672
VA-11,176.91852048594177,109.93207200321483,658.6489647033075,254.30578699369426,0.26443399109667054,0.5142314567358462
